attendance_id,employee_id,date,status,check_in_time,check_out_time
ATD000001,EMP01217,2025-10-03,Present,09:17,18:19
ATD000002,EMP00879,2025-12-04,Present,09:30,18:10
ATD000003,EMP00560,2026-01-07,Absent,NULL,NULL
ATD000004,EMP00696,2025-03-30,Present,08:31,16:59
ATD000005,EMP01063,2026-03-23,"Half Day",09:15,13:42
ATD000006,EMP00353,2025-03-26,Present,09:02,18:13
ATD000007,EMP00350,2025-10-22,Present,09:40,17:40
ATD000008,EMP00497,2024-09-04,Present,09:25,18:05
ATD000009,EMP00043,2026-07-12,Present,08:52,17:23
ATD000010,EMP01044,2024-08-24,"Work From Home",09:22,18:04
ATD000011,EMP00375,2024-12-06,Present,08:43,17:13
ATD000012,EMP00639,2026-02-17,"Work From Home",09:40,18:28
ATD000013,EMP01039,2025-01-02,"Work From Home",09:07,17:26
ATD000014,EMP00678,2025-11-25,Present,08:34,17:50
ATD000015,EMP00470,2025-03-02,Present,09:43,18:24
ATD000016,EMP00546,2024-10-12,Present,09:08,17:20
ATD000017,EMP00900,2026-02-24,Present,09:34,18:30
ATD000018,EMP00285,2024-12-28,"Work From Home",09:48,17:55
ATD000019,EMP00234,2025-08-09,Present,08:39,17:15
ATD000020,EMP00600,2025-06-22,Present,08:42,17:54
ATD000021,EMP01215,2024-08-28,Present,08:55,18:15
ATD000022,EMP00126,2024-08-03,Absent,NULL,NULL
ATD000023,EMP00310,2026-04-06,Present,09:18,17:19
ATD000024,EMP00003,2026-04-16,Present,09:28,17:40
ATD000025,EMP01206,2025-02-02,Absent,NULL,NULL
ATD000026,EMP00273,2025-07-07,Present,08:48,18:07
ATD000027,EMP00876,2025-06-10,Present,08:54,17:26
ATD000028,EMP00328,2024-10-07,Absent,NULL,NULL
ATD000029,EMP01146,2025-08-19,Absent,NULL,NULL
ATD000030,EMP00378,2026-06-24,Present,08:59,17:00
ATD000031,EMP00248,2025-09-21,"Half Day",08:46,12:22
ATD000032,EMP00623,2024-08-15,Present,08:35,16:39
ATD000033,EMP00635,2025-08-20,Present,08:48,16:59
ATD000034,EMP01199,2025-01-14,Present,09:07,17:56
ATD000035,EMP00319,2025-09-22,"Work From Home",09:03,17:17
ATD000036,EMP00423,2024-09-23,"Work From Home",09:16,17:54
ATD000037,EMP00770,2024-09-05,Absent,NULL,NULL
ATD000038,EMP00382,2025-09-08,Present,08:47,17:25
ATD000039,EMP00805,2026-05-23,"Half Day",08:52,13:18
ATD000040,EMP00012,2024-09-20,Present,09:02,18:02
ATD000041,EMP00925,2025-12-04,Present,08:48,17:23
ATD000042,EMP00034,2025-01-05,Present,09:24,17:57
ATD000043,EMP00091,2025-12-10,Absent,NULL,NULL
ATD000044,EMP01057,2025-06-12,Present,09:29,18:16
ATD000045,EMP00831,2025-05-10,Present,09:28,17:36
ATD000046,EMP00857,2025-08-27,Present,09:28,18:28
ATD000047,EMP00618,2025-04-28,Present,08:57,17:51
ATD000048,EMP00828,2026-03-22,Present,09:30,18:49
ATD000049,EMP00694,2024-12-20,"Work From Home",09:13,17:15
ATD000050,EMP00884,2025-09-11,Absent,NULL,NULL
ATD000051,EMP00782,2026-05-20,Present,09:00,18:26
ATD000052,EMP00848,2024-10-13,Present,08:35,17:37
ATD000053,EMP00879,2024-12-08,"Work From Home",09:15,17:25
ATD000054,EMP00737,2025-09-10,Present,09:45,18:48
ATD000055,EMP00065,2026-04-29,Present,09:28,17:50
ATD000056,EMP00621,2025-08-22,"Half Day",08:40,12:30
ATD000057,EMP00364,2024-09-17,Present,08:56,17:17
ATD000058,EMP01056,2024-09-28,Present,08:31,16:59
ATD000059,EMP00274,2024-10-05,Present,09:22,18:07
ATD000060,EMP00278,2025-01-27,Present,09:12,17:22
ATD000061,EMP01145,2024-09-12,Absent,NULL,NULL
ATD000062,EMP01029,2025-06-13,Present,09:26,17:37
ATD000063,EMP00845,2026-02-14,Present,08:57,17:59
ATD000064,EMP00543,2026-02-10,"Half Day",08:39,13:03
ATD000065,EMP00435,2026-04-02,"Half Day",08:30,12:23
ATD000066,EMP00216,2025-05-26,Absent,NULL,NULL
ATD000067,EMP00925,2026-02-26,Absent,NULL,NULL
ATD000068,EMP00330,2025-02-23,"Work From Home",09:33,18:26
ATD000069,EMP01008,2026-06-05,Absent,NULL,NULL
ATD000070,EMP00864,2026-05-30,Present,09:37,18:49
ATD000071,EMP00659,2025-12-31,Present,09:20,18:14
ATD000072,EMP00276,2025-11-26,"Work From Home",09:24,17:55
ATD000073,EMP00425,2025-09-16,Present,08:35,17:10
ATD000074,EMP00782,2024-09-19,"Work From Home",09:21,17:41
ATD000075,EMP00350,2025-04-10,Present,08:51,18:13
ATD000076,EMP01177,2025-09-19,Present,09:44,19:01
ATD000077,EMP00856,2025-09-13,Present,08:33,17:29
ATD000078,EMP00814,2025-03-22,Present,09:15,18:34
ATD000079,EMP00986,2024-09-08,"Work From Home",09:58,18:50
ATD000080,EMP00022,2025-08-17,Present,09:07,17:12
ATD000081,EMP00337,2025-11-04,Present,09:26,17:45
ATD000082,EMP00597,2025-04-09,Present,09:20,17:41
ATD000083,EMP00937,2025-08-31,Present,08:51,17:27
ATD000084,EMP00025,2026-01-19,"Work From Home",09:59,18:24
ATD000085,EMP00054,2025-02-23,Present,08:38,18:08
ATD000086,EMP01125,2026-08-04,Present,09:01,17:24
ATD000087,EMP00648,2025-01-27,"Work From Home",09:56,18:36
ATD000088,EMP00400,2026-04-27,Present,09:27,18:24
ATD000089,EMP00075,2024-11-19,Present,09:11,18:32
ATD000090,EMP00346,2025-02-27,Present,08:30,17:40
ATD000091,EMP01114,2026-05-19,Present,09:19,18:26
ATD000092,EMP00215,2025-04-25,Present,08:41,17:16
ATD000093,EMP00885,2026-01-10,Absent,NULL,NULL
ATD000094,EMP00529,2026-06-29,Absent,NULL,NULL
ATD000095,EMP00756,2026-04-05,"Work From Home",09:04,17:20
ATD000096,EMP00585,2025-01-08,Present,09:23,18:53
ATD000097,EMP00452,2025-10-22,"Work From Home",09:45,17:57
ATD000098,EMP00295,2026-06-17,Present,08:49,17:17
ATD000099,EMP01086,2026-04-29,"Work From Home",09:47,18:41
ATD000100,EMP00615,2025-03-09,"Work From Home",09:22,18:03
ATD000101,EMP00048,2024-08-20,Absent,NULL,NULL
ATD000102,EMP01026,2024-09-10,"Work From Home",09:17,18:14
ATD000103,EMP00168,2026-07-19,Present,09:17,18:26
ATD000104,EMP00540,2026-02-09,"Work From Home",09:58,18:10
ATD000105,EMP00391,2025-02-11,"Half Day",08:46,13:08
ATD000106,EMP00813,2025-08-14,Present,09:16,17:38
ATD000107,EMP01212,2025-10-17,"Work From Home",09:52,18:11
ATD000108,EMP00750,2025-06-13,"Half Day",09:09,13:19
ATD000109,EMP00405,2026-02-17,Present,08:38,17:11
ATD000110,EMP00184,2026-03-22,Present,08:51,17:32
ATD000111,EMP00145,2026-06-06,"Half Day",09:25,13:09
ATD000112,EMP00331,2025-10-21,Present,09:16,17:33
ATD000113,EMP00564,2024-10-01,"Half Day",09:30,13:14
ATD000114,EMP01136,2026-04-14,Present,09:31,18:38
ATD000115,EMP00581,2025-11-26,Present,08:53,17:16
ATD000116,EMP00805,2025-01-04,Present,09:24,18:25
ATD000117,EMP00948,2025-05-22,Absent,NULL,NULL
ATD000118,EMP00530,2024-10-12,"Work From Home",09:44,18:32
ATD000119,EMP00981,2026-01-07,Present,08:48,18:00
ATD000120,EMP00547,2025-08-04,Present,08:41,17:07
ATD000121,EMP00647,2025-01-13,Present,09:02,17:45
ATD000122,EMP01085,2025-05-09,Present,09:44,18:29
ATD000123,EMP00802,2025-01-09,Present,09:38,18:57
ATD000124,EMP00627,2025-08-03,Present,09:43,18:42
ATD000125,EMP00834,2025-02-20,Absent,NULL,NULL
ATD000126,EMP00395,2025-10-08,Present,08:52,17:26
ATD000127,EMP00686,2025-03-07,Present,09:06,17:30
