salary_id,employee_id,basic_salary,bonus,deductions,net_salary,Pay_Date
SAL000001,EMP01024,32104.08,13783.11,1365.15,44522.04,2024-10-17
SAL000002,EMP00569,146315.27,8443.4,2511.16,152247.51,2026-07-07
SAL000003,EMP00643,82901.8,15487.8,4445.6,93944,2024-11-29
SAL000004,EMP00471,51527.95,10531.28,1349.92,60709.31,2026-02-03
SAL000005,EMP00326,89046.1,15193.93,14861.13,89378.9,2026-04-18
SAL000006,EMP00441,57120.75,8526.77,10056.67,55590.85,2026-02-09
SAL000007,EMP00971,132141.95,3986.26,9577.23,126550.98,2025-03-20
SAL000008,EMP00644,25343.02,9321.64,5840.24,28824.42,2025-04-26
SAL000009,EMP00969,34085.21,14143.22,4391.27,43837.16,2026-01-21
SAL000010,EMP00785,119730.81,2116.82,6408.73,115438.9,2026-07-18
SAL000011,EMP01215,26685.73,9678.5,9283.29,27080.94,2025-12-09
SAL000012,EMP00245,120843.15,13080.18,2915.64,131007.69,2025-09-11
SAL000013,EMP00516,21188.06,12047.13,10569.4,22665.79,2025-05-22
SAL000014,EMP00482,100380.57,16833.23,11147.51,106066.29,2025-06-04
SAL000015,EMP00294,126432.21,2631.05,6315.11,122748.15,2026-01-19
SAL000016,EMP00707,136816.14,9355.96,13453.14,132718.96,2025-06-21
SAL000017,EMP00240,148129.51,4940.08,13398.54,139671.05,2025-09-06
SAL000018,EMP00175,84576.84,4989.15,9741.77,79824.22,2025-11-16
SAL000019,EMP00346,65801.46,7942.87,7546.43,66197.9,2025-11-17
SAL000020,EMP00030,132721.05,7663.4,12123.34,128261.11,2024-09-10
SAL000021,EMP00416,71594.63,10908.09,10081.18,72421.54,2025-01-27
SAL000022,EMP01092,103675.44,16985.29,8401.79,112258.94,2026-01-09
SAL000023,EMP01022,22658.93,19972.12,6673.78,35957.27,2025-10-02
SAL000024,EMP00399,125050.99,13828.93,2958.07,135921.85,2026-04-16
SAL000025,EMP01118,75849.73,2287.03,3509.89,74626.87,2024-09-19
SAL000026,EMP00805,92611.05,2369.67,5109.64,89871.08,2025-01-28
SAL000027,EMP00008,121284.47,5323.25,6902.24,119705.48,2025-08-13
SAL000028,EMP00924,72332.43,6070.35,10180.72,68222.06,2026-02-09
SAL000029,EMP00477,138039.34,9964.43,6912.25,141091.52,2025-01-01
SAL000030,EMP00309,104496.05,11997.17,6718.8,109774.42,2026-02-21
SAL000031,EMP01059,114545.39,12907.4,11244.67,116208.12,2025-06-08
SAL000032,EMP00164,121342.94,5521.11,4047.61,122816.44,2025-03-23
SAL000033,EMP00468,65594.57,5592.57,11159.76,60027.38,2026-04-10
SAL000034,EMP00174,22555.79,13665.02,6003.34,30217.47,2024-10-29
SAL000035,EMP00577,66612.61,7666.72,10821.78,63457.55,2026-06-25
SAL000036,EMP01101,59419.31,7073.76,7750.09,58742.98,2025-03-26
SAL000037,EMP00909,139478.06,6076.55,2412.65,143141.96,2025-05-03
SAL000038,EMP00944,52941.6,5814.08,11560.13,47195.55,2025-01-07
SAL000039,EMP01083,51350.12,7216.2,9200.39,49365.93,2025-07-20
SAL000040,EMP01018,138290.01,11817.88,11457.78,138650.11,2026-04-19
SAL000041,EMP00493,120986,2942.4,12326.95,111601.45,2025-01-20
SAL000042,EMP00608,75869.56,18184.07,14799.54,79254.09,2025-09-20
SAL000043,EMP01100,139832.75,19206.28,7814.06,151224.97,2025-06-29
SAL000044,EMP00662,112000.96,17800.63,5815.37,123986.22,2025-03-20
SAL000045,EMP00310,29330.02,8473.99,6408.06,31395.95,2024-11-15
SAL000046,EMP00119,61870.54,12452.21,6604.46,67718.29,2026-01-04
SAL000047,EMP00128,129865.54,15776.61,8884.8,136757.35,2025-06-11
SAL000048,EMP01072,102640.08,10271.52,6772.18,106139.42,2025-07-21
SAL000049,EMP00529,99999.94,16996.71,10409.51,106587.14,2025-10-26
SAL000050,EMP01048,125080.87,16394.48,1374.82,140100.53,2024-10-29
SAL000051,EMP00640,102736.95,10283.42,13607.37,99413,2026-04-01
SAL000052,EMP00031,54764.61,3060.19,4929.76,52895.04,2026-05-25
SAL000053,EMP01102,70122.1,6129.2,13797.14,62454.16,2025-02-13
SAL000054,EMP00674,64844.51,19218.27,3020.1,81042.68,2026-03-31
SAL000055,EMP00781,46042.87,3709.79,9135.75,40616.91,2026-01-04
SAL000056,EMP00216,53830.14,12240.78,10587.93,55482.99,2025-03-18
SAL000057,EMP01015,107451.39,13719.69,6950.03,114221.05,2025-02-25
